PMID,Type,Sujet,DOI,URL,Pertinence_Jiani,Note_détail,Verification_date,PDF_path
34384683,PMID,Changements cinétiques pubertaires 14→15 ans,,https://pubmed.ncbi.nlm.nih.gov/34384683/,🟢🟢 HIGH,Changements cinétiques pubertaires 14→15 ans,2026-08-13,
34604430,PMID,"Ischio/ACL timing, prévention valgus directe",,https://pubmed.ncbi.nlm.nih.gov/34604430/,🟢🟢 HIGH,"Ischio/ACL timing, prévention valgus directe",2026-08-13,
23068590,PMID,Valgus = problème neuro (pas juste ROM),,https://pubmed.ncbi.nlm.nih.gov/23068590/,🟢🟢 HIGH,Valgus = problème neuro (pas juste ROM),2026-08-13,
23724771,PMID,valgus corrigible par training,,https://pubmed.ncbi.nlm.nih.gov/23724771/,🟢🟢 HIGH,valgus corrigible par training,2026-08-13,
25838245,PMID,Tool évaluation fille ado,,https://pubmed.ncbi.nlm.nih.gov/25838245/,🟢🟢 HIGH,Tool évaluation fille ado,2026-08-13,
27834577,PMID,"LESS tool validation, assessment Jiani",,https://pubmed.ncbi.nlm.nih.gov/27834577/,🟢🟢 HIGH,"LESS tool validation, assessment Jiani",2026-08-13,
18586134,PMID,force/flexibilité directe,,https://pubmed.ncbi.nlm.nih.gov/18586134/,🟢🟢 HIGH,force/flexibilité directe,2026-08-13,
22100617,PMID,,,https://pubmed.ncbi.nlm.nih.gov/22100617/,🟢🟢 HIGH,,2026-08-13,
23884306,PMID,,,https://pubmed.ncbi.nlm.nih.gov/23884306/,🟢🟢 HIGH,,2026-08-13,
25305265,PMID,,,https://pubmed.ncbi.nlm.nih.gov/25305265/,🟢🟢 HIGH,,2026-08-13,
30273009,PMID,,,https://pubmed.ncbi.nlm.nih.gov/30273009/,🟢🟢 HIGH,,2026-08-13,
34235227,PMID,,,https://pubmed.ncbi.nlm.nih.gov/34235227/,🟢🟢 HIGH,,2026-08-13,
34275170,PMID,,,https://pubmed.ncbi.nlm.nih.gov/34275170/,🟢🟢 HIGH,,2026-08-13,
24568229,PMID,fille ado contexte,,https://pubmed.ncbi.nlm.nih.gov/24568229/,🟡 PARTIEL,fille ado contexte,2026-08-13,
24926910,PMID,,,https://pubmed.ncbi.nlm.nih.gov/24926910/,🟡 PARTIEL,,2026-08-13,
42220028,PMID,,,https://pubmed.ncbi.nlm.nih.gov/42220028/,🟢🟢 HIGH,,2026-08-13,
40987761,PMID,,,https://pubmed.ncbi.nlm.nih.gov/40987761/,🟢🟢 HIGH,,2026-08-13,
40954634,PMID,**profil Jiani**,,https://pubmed.ncbi.nlm.nih.gov/40954634/,🟢🟢 HIGH,**profil Jiani**,2026-08-13,
40909984,PMID,cheville/valgus,,https://pubmed.ncbi.nlm.nih.gov/40909984/,🟢🟢 HIGH,cheville/valgus,2026-08-13,
40469861,PMID,,,https://pubmed.ncbi.nlm.nih.gov/40469861/,🟢🟢 HIGH,,2026-08-13,
39663081,PMID,,,https://pubmed.ncbi.nlm.nih.gov/39663081/,🟢🟢 HIGH,,2026-08-13,
41710434,PMID,,,https://pubmed.ncbi.nlm.nih.gov/41710434/,🟡 PARTIEL,,2026-08-13,
41710432,PMID,,,https://pubmed.ncbi.nlm.nih.gov/41710432/,🟡 PARTIEL,,2026-08-13,
41571821,PMID,,,https://pubmed.ncbi.nlm.nih.gov/41571821/,🟡 PARTIEL,,2026-08-13,
41431280,PMID,,,https://pubmed.ncbi.nlm.nih.gov/41431280/,🟡 PARTIEL,,2026-08-13,
35993482,PMID,,,https://pubmed.ncbi.nlm.nih.gov/35993482/,🟢🟢 HIGH,,2026-08-13,
40952167,PMID,,,https://pubmed.ncbi.nlm.nih.gov/40952167/,🟡 PARTIEL,,2026-08-13,
36529057,PMID,,,https://pubmed.ncbi.nlm.nih.gov/36529057/,🟡 PARTIEL,,2026-08-13,
33908068,PMID,psychomoteur,,https://pubmed.ncbi.nlm.nih.gov/33908068/,🟡 PARTIEL,psychomoteur,2026-08-13,
39376746,PMID,Jiani primaire,,https://pubmed.ncbi.nlm.nih.gov/39376746/,🔴 NON,Jiani primaire,2026-08-13,
41875793,PMID,Profil Jiani perfectionniste,,https://pubmed.ncbi.nlm.nih.gov/41875793/,🟢🟢 HIGH,Profil Jiani perfectionniste,2026-08-13,
42238605,PMID,,,https://pubmed.ncbi.nlm.nih.gov/42238605/,🟢🟢 HIGH,,2026-08-13,
42271117,PMID,Jiani tournois,,https://pubmed.ncbi.nlm.nih.gov/42271117/,🟢🟢 HIGH,Jiani tournois,2026-08-13,
41981191,PMID,,,https://pubmed.ncbi.nlm.nih.gov/41981191/,🟢🟢 HIGH,,2026-08-13,
42359150,PMID,,,https://pubmed.ncbi.nlm.nih.gov/42359150/,🟡 PARTIEL,,2026-08-13,
42245082,PMID,,,https://pubmed.ncbi.nlm.nih.gov/42245082/,🟡 PARTIEL,,2026-08-13,
42302032,PMID,,,https://pubmed.ncbi.nlm.nih.gov/42302032/,🟡 PARTIEL,,2026-08-13,
41570870,PMID,,,https://pubmed.ncbi.nlm.nih.gov/41570870/,🟡 PARTIEL,,2026-08-13,
41845162,PMID,,,https://pubmed.ncbi.nlm.nih.gov/41845162/,🟢🟢 HIGH,,2026-08-13,
41577799,PMID,,,https://pubmed.ncbi.nlm.nih.gov/41577799/,🟢🟢 HIGH,,2026-08-13,
42043058,PMID,,,https://pubmed.ncbi.nlm.nih.gov/42043058/,🟡 PARTIEL,,2026-08-13,
41866563,PMID,,,https://pubmed.ncbi.nlm.nih.gov/41866563/,🟡 PARTIEL,,2026-08-13,
41668945,PMID,,,https://pubmed.ncbi.nlm.nih.gov/41668945/,🟡 PARTIEL,,2026-08-13,
41618909,PMID,,,https://pubmed.ncbi.nlm.nih.gov/41618909/,🟡 PARTIEL,,2026-08-13,
41804829,PMID,non pertinent Jiani saine,,https://pubmed.ncbi.nlm.nih.gov/41804829/,🔴 NON,non pertinent Jiani saine,2026-08-13,
41891949,PMID,Jiani active,,https://pubmed.ncbi.nlm.nih.gov/41891949/,🔴 NON,Jiani active,2026-08-13,
CSSR-023,CSSR,Blessures jeunes joueurs + prévention = CRITIQUE pour Jiani intensive,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-024,CSSR,Charge entraînement jeunes = OUI; Jiani U14 compétitive = pertinent,,,🟢🟢 HIGH,,2026-08-13,
CSSR-025,CSSR,Traits comportementaux jeunes compétiteurs = OUI TRÈS,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-026,CSSR,"Routines de compétition, récupération — pertinent Jiani",,,🟢🟢 HIGH,,2026-08-13,
CSSR-027,CSSR,Retour service technique = OUI; mais contexte seniorité-focused,,,🟡 PARTIEL,,2026-08-13,
CSSR-028,CSSR,VFC + variation physiologique jeunes = OUI TRÈS pour Jiani,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-029,CSSR,Développement technique enfants; Jiani = avancée technique,,,🟡 PARTIEL,,2026-08-13,
CSSR-030,CSSR,Étapes formation joueurs niveau mondial + visualisation + concentration = cœur du travail mental Jiani; prévention blessures + évaluation fonction = OUI,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-031,CSSR,Sommeil U14 + circuit training intensive = JIANI CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-032,CSSR,Complex training + préparation mentale utiles; technique débutants MAIS Jiani = expert déjà,,,🟡 PARTIEL,,2026-08-13,
CSSR-033,CSSR,Sport development jeunes (général); peu spécifique Jiani,,,🟡 PARTIEL,,2026-08-13,
CSSR-034,CSSR,Technologie sport; coaching moderne = OUI,,,🟢🟢 HIGH,,2026-08-13,
CSSR-035,CSSR,Périodisation jeunes compétiteurs + circuit junior ITF + vitesse/puissance jeunes + gestion stress matches = MATCH DIRECT OBJECTIFS JIANI,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
